trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
5202020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
50862020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10030132,shp-100-02,1
48783070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
47573010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
49040020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10012122,shp-100-02,1
73431070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
48021010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
70510070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
48254010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
70696020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
48384020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
73699070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
44684070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
70787070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
47920020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
70406010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
48580070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
67531020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
4681020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
67543020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
46982020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
66581070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
47674010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
69661070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
47712010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
66888020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
47756070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
69841070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
6995010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
73836070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
72555020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
71057010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
75765070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
74117020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10014142,shp-100-02,1
76092010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
71594070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
76349010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
74501020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
71666010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
75160070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
68871010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
72241010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
71693020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
75493020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
71743020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
75326010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
69124070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
75483010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
69615070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
78292020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10015152,shp-100-02,1
72509010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
60246010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
74416020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
60453010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
77126010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
5730020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
73491020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
57482070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
7463010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
60263070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
77489070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
60327070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
77762020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10013131,shp-100-02,1
63872070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
77923010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
61352020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
75123020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
6159020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
77969010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
64673070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1008870,shp-100-02,1
77974010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
65228020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
77997070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000660,shp-100-02,1
623010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1007910,shp-100-02,1
78060010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
62424070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
59733070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
68795020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
65752020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
